"","X.1","X","Data.As.Of","Start.Date","End.Date","Group","State","Sex","Age.Group","COVID.19.Deaths","COVID.19.Deaths_factor","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths"
"2377",2377,4420,"11/24/2021","1/1/2020","12/31/2020","By Year","Iowa","Male","85 years and over",893,3,5051,610,303,NA
"2381",2381,4429,"11/24/2021","1/1/2020","12/31/2020","By Year","Iowa","Female","30-39 years",11,1,201,10,NA,NA
"2383",2383,4431,"11/24/2021","1/1/2020","12/31/2020","By Year","Iowa","Female","40-49 years",23,1,355,19,NA,0
"2385",2385,4433,"11/24/2021","1/1/2020","12/31/2020","By Year","Iowa","Female","50-64 years",157,2,1844,147,62,NA
"2387",2387,4435,"11/24/2021","1/1/2020","12/31/2020","By Year","Iowa","Female","65-74 years",319,2,2770,268,134,13
"2388",2388,4436,"11/24/2021","1/1/2020","12/31/2020","By Year","Iowa","Female","75-84 years",602,3,4138,404,182,12
"2389",2389,4437,"11/24/2021","1/1/2020","12/31/2020","By Year","Iowa","Female","85 years and over",1168,4,7998,666,291,25
"2393",2393,4463,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Male","30-39 years",18,1,322,11,NA,0
"2395",2395,4465,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Male","40-49 years",52,1,565,37,25,0
"2397",2397,4467,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Male","50-64 years",250,2,2546,203,109,NA
"2399",2399,4469,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Male","65-74 years",328,2,3325,309,164,NA
"2400",2400,4470,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Male","75-84 years",404,2,3711,361,175,NA
"2401",2401,4471,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Male","85 years and over",360,2,3639,334,140,NA
"2404",2404,4474,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Female","0-17 years",0,1,75,0,0,0
"2408",2408,4480,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Female","30-39 years",19,1,181,NA,NA,0
"2410",2410,4482,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Female","40-49 years",41,1,321,27,18,0
"2412",2412,4484,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Female","50-64 years",181,2,1605,157,85,NA
"2414",2414,4486,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Female","65-74 years",214,2,2264,213,107,0
"2415",2415,4487,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Female","75-84 years",273,2,3348,266,119,0
"2416",2416,4488,"11/24/2021","1/1/2021","11/20/2021","By Year","Iowa","Female","85 years and over",455,2,5669,405,159,NA
"2421",2421,4514,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Male","30-39 years",20,1,447,19,NA,NA
"2423",2423,4516,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Male","40-49 years",53,1,678,39,19,NA
"2425",2425,4518,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Male","50-64 years",246,2,2852,240,134,11
"2427",2427,4520,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Male","65-74 years",367,2,3504,369,181,11
"2428",2428,4521,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Male","75-84 years",613,3,3988,493,300,19
"2429",2429,4522,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Male","85 years and over",580,3,4129,460,228,11
"2432",2432,4525,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Female","0-17 years",0,1,131,NA,0,NA
"2436",2436,4533,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Female","40-49 years",26,1,392,19,NA,NA
"2438",2438,4535,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Female","50-64 years",137,2,1839,156,72,11
"2440",2440,4537,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Female","65-74 years",264,2,2494,252,115,12
"2441",2441,4538,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Female","75-84 years",417,2,3502,338,179,19
"2442",2442,4539,"11/24/2021","1/1/2020","12/31/2020","By Year","Kansas","Female","85 years and over",759,3,6179,524,250,16
"2445",2445,4559,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Male","0-17 years",0,1,158,NA,0,NA
"2448",2448,4563,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Male","18-29 years",13,1,362,NA,NA,0
"2450",2450,4565,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Male","30-39 years",35,1,471,33,24,0
"2452",2452,4567,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Male","40-49 years",102,2,688,62,50,0
"2454",2454,4569,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Male","50-64 years",367,2,2543,266,186,NA
"2456",2456,4571,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Male","65-74 years",404,2,3179,359,215,NA
"2457",2457,4572,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Male","75-84 years",401,2,3236,357,201,NA
"2458",2458,4573,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Male","85 years and over",348,2,3093,300,139,NA
"2461",2461,4576,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Female","0-17 years",0,1,102,NA,0,0
"2465",2465,4582,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Female","30-39 years",21,1,224,13,10,0
"2467",2467,4584,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Female","40-49 years",54,1,425,36,25,0
"2469",2469,4586,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Female","50-64 years",249,2,1713,208,140,NA
"2471",2471,4588,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Female","65-74 years",283,2,2211,250,153,NA
"2472",2472,4589,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Female","75-84 years",295,2,2984,301,148,0
"2473",2473,4590,"11/24/2021","1/1/2021","11/20/2021","By Year","Kansas","Female","85 years and over",419,2,4719,320,143,NA
"2478",2478,4614,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Male","18-29 years",0,1,780,NA,0,0
"2479",2479,4616,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Male","30-39 years",15,1,1216,40,10,NA
"2481",2481,4618,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Male","40-49 years",50,1,1719,98,21,NA
"2483",2483,4620,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Male","50-64 years",322,2,6450,567,163,19
"2485",2485,4622,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Male","65-74 years",601,3,6774,848,340,19
"2486",2486,4623,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Male","75-84 years",683,3,6810,952,382,15
"2487",2487,4624,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Male","85 years and over",584,3,5008,672,277,12
"2490",2490,4627,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Female","0-17 years",0,1,208,NA,0,NA
"2495",2495,4635,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Female","40-49 years",29,1,1006,77,17,NA
"2497",2497,4637,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Female","50-64 years",254,2,4192,415,128,18
"2499",2499,4639,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Female","65-74 years",420,2,5219,612,205,20
"2500",2500,4640,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Female","75-84 years",654,3,6734,797,308,13
"2501",2501,4641,"11/24/2021","1/1/2020","12/31/2020","By Year","Kentucky","Female","85 years and over",995,3,8357,835,340,14
"2506",2506,4665,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Male","18-29 years",25,1,644,19,11,0
"2508",2508,4667,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Male","30-39 years",74,1,1018,60,39,0
"2510",2510,4669,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Male","40-49 years",209,2,1551,167,123,NA
"2512",2512,4671,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Male","50-64 years",937,3,5897,855,566,NA
"2514",2514,4673,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Male","65-74 years",1040,4,6415,1071,669,NA
"2515",2515,4674,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Male","75-84 years",1007,4,6139,1030,607,NA
"2516",2516,4675,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Male","85 years and over",542,3,4083,554,275,0
"2519",2519,4682,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Female","18-29 years",16,1,264,13,NA,0
"2521",2521,4684,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Female","30-39 years",55,1,493,45,28,0
"2523",2523,4686,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Female","40-49 years",156,2,988,144,102,0
"2525",2525,4688,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Female","50-64 years",670,3,4020,671,426,NA
"2527",2527,4690,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Female","65-74 years",778,3,4966,804,502,NA
"2528",2528,4691,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Female","75-84 years",841,3,5918,852,486,NA
"2529",2529,4692,"11/24/2021","1/1/2021","11/20/2021","By Year","Kentucky","Female","85 years and over",768,3,6654,674,311,NA
"2532",2532,4716,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Male","18-29 years",16,1,995,21,NA,0
"2534",2534,4718,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Male","30-39 years",53,1,1281,49,30,NA
"2536",2536,4720,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Male","40-49 years",130,2,1744,91,57,NA
"2538",2538,4722,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Male","50-64 years",690,3,6432,564,355,11
"2540",2540,4724,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Male","65-74 years",1025,4,7104,865,554,12
"2541",2541,4725,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Male","75-84 years",1111,4,6860,867,564,NA
"2542",2542,4726,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Male","85 years and over",752,3,5140,632,384,NA
"2546",2546,4733,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Female","18-29 years",11,1,367,19,NA,NA
"2548",2548,4735,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Female","30-39 years",39,1,640,38,24,NA
"2550",2550,4737,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Female","40-49 years",93,1,971,64,37,NA
"2552",2552,4739,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Female","50-64 years",511,3,4277,440,264,13
"2554",2554,4741,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Female","65-74 years",675,3,5269,580,357,NA
"2555",2555,4742,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Female","75-84 years",971,3,6632,741,470,12
"2556",2556,4743,"11/24/2021","1/1/2020","12/31/2020","By Year","Louisiana","Female","85 years and over",980,3,8376,759,440,11
"2561",2561,4767,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Male","18-29 years",40,1,764,26,23,0
"2563",2563,4769,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Male","30-39 years",107,2,1130,58,42,0
"2565",2565,4771,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Male","40-49 years",256,2,1569,157,136,0
"2567",2567,4773,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Male","50-64 years",1000,3,5950,727,552,NA
"2569",2569,4775,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Male","65-74 years",982,3,6198,793,564,0
"2570",2570,4776,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Male","75-84 years",776,3,5701,668,442,NA
"2571",2571,4777,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Male","85 years and over",384,2,3965,347,193,NA
"2575",2575,4784,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Female","18-29 years",32,1,305,24,16,0
"2577",2577,4786,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Female","30-39 years",93,1,594,67,57,0
"2579",2579,4788,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Female","40-49 years",182,2,937,126,104,0
"2581",2581,4790,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Female","50-64 years",673,3,3633,513,396,NA
"2583",2583,4792,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Female","65-74 years",745,3,4492,590,427,0
"2584",2584,4793,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Female","75-84 years",598,3,5287,508,335,NA
"2585",2585,4794,"11/24/2021","1/1/2021","11/20/2021","By Year","Louisiana","Female","85 years and over",520,3,6386,434,233,0
"2588",2588,4814,"11/24/2021","1/1/2020","12/31/2020","By Year","Maine","Male","0-17 years",0,1,73,0,0,NA
"2592",2592,4824,"11/24/2021","1/1/2020","12/31/2020","By Year","Maine","Male","50-64 years",23,1,1525,67,NA,NA
"2594",2594,4826,"11/24/2021","1/1/2020","12/31/2020","By Year","Maine","Male","65-74 years",47,1,1777,123,18,NA
"2595",2595,4827,"11/24/2021","1/1/2020","12/31/2020","By Year","Maine","Male","75-84 years",82,1,2068,186,28,NA
"2596",2596,4828,"11/24/2021","1/1/2020","12/31/2020","By Year","Maine","Male","85 years and over",68,1,1983,186,12,NA
"2599",2599,4831,"11/24/2021","1/1/2020","12/31/2020","By Year","Maine","Female","0-17 years",0,1,41,0,0,NA
"2603",2603,4835,"11/24/2021","1/1/2020","12/31/2020","By Year","Maine","Female","18-29 years",0,1,47,NA,0,0
"2605",2605,4843,"11/24/2021","1/1/2020","12/31/2020","By Year","Maine","Female","65-74 years",26,1,1278,74,NA,NA
"2606",2606,4844,"11/24/2021","1/1/2020","12/31/2020","By Year","Maine","Female","75-84 years",78,1,1891,133,16,NA
"2607",2607,4845,"11/24/2021","1/1/2020","12/31/2020","By Year","Maine","Female","85 years and over",124,2,3132,183,23,12
"2610",2610,4865,"11/24/2021","1/1/2021","11/20/2021","By Year","Maine","Male","0-17 years",0,1,47,0,0,0
"2614",2614,4873,"11/24/2021","1/1/2021","11/20/2021","By Year","Maine","Male","40-49 years",15,1,345,16,NA,0
"2616",2616,4875,"11/24/2021","1/1/2021","11/20/2021","By Year","Maine","Male","50-64 years",99,1,1480,94,34,0
"2618",2618,4877,"11/24/2021","1/1/2021","11/20/2021","By Year","Maine","Male","65-74 years",128,2,1730,142,48,NA
"2619",2619,4878,"11/24/2021","1/1/2021","11/20/2021","By Year","Maine","Male","75-84 years",155,2,1972,182,52,0
"2620",2620,4879,"11/24/2021","1/1/2021","11/20/2021","By Year","Maine","Male","85 years and over",106,2,1764,152,28,0
"2624",2624,4890,"11/24/2021","1/1/2021","11/20/2021","By Year","Maine","Female","40-49 years",10,1,169,12,NA,0
"2626",2626,4892,"11/24/2021","1/1/2021","11/20/2021","By Year","Maine","Female","50-64 years",60,1,811,69,25,NA
"2628",2628,4894,"11/24/2021","1/1/2021","11/20/2021","By Year","Maine","Female","65-74 years",71,1,1186,90,30,0
"2629",2629,4895,"11/24/2021","1/1/2021","11/20/2021","By Year","Maine","Female","75-84 years",124,2,1754,119,30,0
"2630",2630,4896,"11/24/2021","1/1/2021","11/20/2021","By Year","Maine","Female","85 years and over",199,2,2737,142,37,0
"2633",2633,4920,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Male","18-29 years",22,1,929,26,10,NA
"2635",2635,4922,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Male","30-39 years",57,1,1253,45,18,NA
"2637",2637,4924,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Male","40-49 years",130,2,1564,93,44,NA
"2639",2639,4926,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Male","50-64 years",626,3,6089,505,242,17
"2641",2641,4928,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Male","65-74 years",754,3,6468,701,328,10
"2642",2642,4929,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Male","75-84 years",1001,4,7040,914,423,18
"2643",2643,4930,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Male","85 years and over",877,3,6858,828,326,18
"2648",2648,4937,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Female","18-29 years",12,1,335,12,NA,0
"2650",2650,4939,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Female","30-39 years",21,1,589,33,NA,NA
"2652",2652,4941,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Female","40-49 years",66,1,868,63,26,NA
"2654",2654,4943,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Female","50-64 years",352,2,3895,329,137,15
"2656",2656,4945,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Female","65-74 years",595,3,5028,532,242,17
"2657",2657,4946,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Female","75-84 years",879,3,6909,734,360,21
"2658",2658,4947,"11/24/2021","1/1/2020","12/31/2020","By Year","Maryland","Female","85 years and over",1333,4,11269,1034,418,19
"2662",2662,4971,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Male","18-29 years",19,1,762,22,NA,0
"2664",2664,4973,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Male","30-39 years",50,1,1069,48,28,0
"2666",2666,4975,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Male","40-49 years",125,2,1341,86,52,0
"2668",2668,4977,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Male","50-64 years",654,3,5250,525,312,0
"2670",2670,4979,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Male","65-74 years",638,3,5540,630,305,0
"2671",2671,4980,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Male","75-84 years",685,3,5844,729,333,NA
"2672",2672,4981,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Male","85 years and over",554,3,5420,591,240,NA
"2675",2675,4988,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Female","18-29 years",11,1,236,12,NA,0
"2677",2677,4990,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Female","30-39 years",39,1,517,36,19,0
"2679",2679,4992,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Female","40-49 years",89,1,759,61,37,NA
"2681",2681,4994,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Female","50-64 years",428,2,3416,364,194,0
"2683",2683,4996,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Female","65-74 years",527,3,4365,486,248,0
"2684",2684,4997,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Female","75-84 years",572,3,5811,562,266,NA
"2685",2685,4998,"11/24/2021","1/1/2021","11/20/2021","By Year","Maryland","Female","85 years and over",758,3,8581,673,275,0
"2690",2690,5024,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Male","30-39 years",27,1,1059,31,10,NA
"2692",2692,5026,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Male","40-49 years",79,1,1390,58,25,NA
"2694",2694,5028,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Male","50-64 years",540,3,5900,490,236,30
"2696",2696,5030,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Male","65-74 years",965,3,7024,847,413,24
"2697",2697,5031,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Male","75-84 years",1459,4,8410,1177,605,31
"2698",2698,5032,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Male","85 years and over",1823,4,9675,1386,706,23
"2703",2703,5041,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Female","30-39 years",13,1,507,12,NA,NA
"2705",2705,5043,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Female","40-49 years",36,1,696,34,13,NA
"2707",2707,5045,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Female","50-64 years",305,2,3485,286,133,13
"2709",2709,5047,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Female","65-74 years",629,3,5081,523,266,13
"2710",2710,5048,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Female","75-84 years",1304,4,8151,986,499,25
"2711",2711,5049,"11/24/2021","1/1/2020","12/31/2020","By Year","Massachusetts","Female","85 years and over",2996,4,16202,1735,869,39
"2714",2714,5073,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Male","18-29 years",16,1,526,11,NA,0
"2716",2716,5075,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Male","30-39 years",39,1,978,32,20,0
"2718",2718,5077,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Male","40-49 years",74,1,1217,58,35,0
"2720",2720,5079,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Male","50-64 years",452,2,5012,452,248,NA
"2722",2722,5081,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Male","65-74 years",591,3,5965,653,331,NA
"2723",2723,5082,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Male","75-84 years",678,3,6741,737,379,0
"2724",2724,5083,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Male","85 years and over",690,3,7325,735,331,0
"2728",2728,5092,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Female","30-39 years",11,1,444,16,NA,0
"2730",2730,5094,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Female","40-49 years",28,1,637,31,13,0
"2732",2732,5096,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Female","50-64 years",250,2,3083,251,137,NA
"2734",2734,5098,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Female","65-74 years",341,2,4246,389,178,NA
"2735",2735,5099,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Female","75-84 years",509,3,6411,573,272,NA
"2736",2736,5100,"11/24/2021","1/1/2021","11/20/2021","By Year","Massachusetts","Female","85 years and over",808,3,11390,795,314,NA
"2739",2739,5120,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Male","0-17 years",0,1,617,NA,0,NA
"2742",2742,5124,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Male","18-29 years",24,1,1315,43,10,NA
"2744",2744,5126,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Male","30-39 years",57,1,1729,67,24,NA
"2746",2746,5128,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Male","40-49 years",194,2,2627,186,102,NA
"2748",2748,5130,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Male","50-64 years",1036,4,11433,1077,564,36
"2750",2750,5132,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Male","65-74 years",1699,4,13500,1605,918,40
"2751",2751,5133,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Male","75-84 years",1998,4,14666,1908,1066,27
"2752",2752,5134,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Male","85 years and over",1609,4,13659,1500,779,23
"2756",2756,5141,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Female","18-29 years",20,1,515,24,11,NA
"2758",2758,5143,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Female","30-39 years",27,1,876,41,NA,NA
"2760",2760,5145,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Female","40-49 years",116,2,1513,123,58,NA
"2762",2762,5147,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Female","50-64 years",606,3,7123,718,347,39
"2764",2764,5149,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Female","65-74 years",1095,4,9962,1123,589,32
"2765",2765,5150,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Female","75-84 years",1509,4,13561,1353,711,33
"2766",2766,5151,"11/24/2021","1/1/2020","12/31/2020","By Year","Michigan","Female","85 years and over",2295,4,21717,1779,874,28
"2769",2769,5175,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Male","18-29 years",41,1,1172,37,23,0
"2771",2771,5177,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Male","30-39 years",108,2,1726,95,61,0
"2773",2773,5179,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Male","40-49 years",272,2,2415,220,146,0
"2775",2775,5181,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Male","50-64 years",1230,4,10020,1074,726,0
"2777",2777,5183,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Male","65-74 years",1403,4,11804,1426,865,NA
"2778",2778,5184,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Male","75-84 years",1407,4,11948,1405,830,NA
"2779",2779,5185,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Male","85 years and over",995,3,10645,1034,513,0
"2783",2783,5192,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Female","18-29 years",26,1,464,30,17,0
"2785",2785,5194,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Female","30-39 years",71,1,848,72,47,0
"2787",2787,5196,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Female","40-49 years",166,2,1339,139,92,0
"2789",2789,5198,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Female","50-64 years",800,3,6160,707,462,0
"2791",2791,5200,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Female","65-74 years",1034,4,8652,1053,662,NA
"2792",2792,5201,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Female","75-84 years",1087,4,11047,1046,587,NA
"2793",2793,5202,"11/24/2021","1/1/2021","11/20/2021","By Year","Michigan","Female","85 years and over",1170,4,16459,1056,468,NA
"2796",2796,5222,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Male","0-17 years",0,1,329,NA,0,NA
"2800",2800,5228,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Male","30-39 years",21,1,731,31,10,NA
"2802",2802,5230,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Male","40-49 years",53,1,946,63,24,NA
"2804",2804,5232,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Male","50-64 years",328,2,4429,304,139,17
"2806",2806,5234,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Male","65-74 years",559,3,5393,517,253,20
"2807",2807,5235,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Male","75-84 years",925,3,6641,726,328,19
"2808",2808,5236,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Male","85 years and over",1123,4,7554,798,363,17
"2812",2812,5245,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Female","30-39 years",14,1,390,10,NA,NA
"2814",2814,5247,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Female","40-49 years",24,1,609,34,NA,NA
"2816",2816,5249,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Female","50-64 years",169,2,2684,227,73,18
"2818",2818,5251,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Female","65-74 years",378,2,3822,345,149,16
"2819",2819,5252,"11/24/2021","1/1/2020","12/31/2020","By Year","Minnesota","Female","75-84 years",690,3,6208,555,233,12
