"","X.1","X","Data.As.Of","Start.Date","End.Date","Group","State","Sex","Age.Group","COVID.19.Deaths","COVID.19.Deaths_factor","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths"
"146",146,253,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Female","65-74 years",885,3,6753,828,469,16
"147",147,254,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Female","75-84 years",1055,4,8650,970,487,11
"148",148,255,"11/24/2021","1/1/2020","11/20/2021","By Total","Arkansas","Female","85 years and over",1234,4,10627,941,446,13
"151",151,275,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Male","0-17 years",34,1,3272,62,12,12
"153",153,279,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Male","18-29 years",367,2,9705,341,192,NA
"155",155,281,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Male","30-39 years",1195,4,12852,961,646,20
"157",157,283,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Male","40-49 years",2782,4,17383,2232,1640,28
"159",159,285,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Male","50-64 years",11320,4,65709,9934,7055,124
"161",161,287,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Male","65-74 years",11081,4,69193,10924,7014,97
"162",162,288,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Male","75-84 years",10380,4,73256,11071,6487,78
"163",163,289,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Male","85 years and over",8487,4,76446,9447,4783,76
"165",165,292,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Female","0-17 years",16,1,2379,50,NA,NA
"167",167,296,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Female","18-29 years",177,2,3128,165,88,12
"169",169,298,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Female","30-39 years",525,3,5090,456,283,21
"171",171,300,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Female","40-49 years",1276,4,8782,1177,767,28
"173",173,302,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Female","50-64 years",5286,4,36531,5201,3376,84
"175",175,304,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Female","65-74 years",6393,4,46932,6620,4093,75
"176",176,305,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Female","75-84 years",7808,4,65111,8227,4678,99
"177",177,306,"11/24/2021","1/1/2020","11/20/2021","By Total","California","Female","85 years and over",10164,4,110324,10334,5038,90
"181",181,330,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Male","18-29 years",36,1,1762,27,14,NA
"183",183,332,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Male","30-39 years",84,1,2280,99,47,NA
"185",185,334,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Male","40-49 years",239,2,2687,208,126,NA
"187",187,336,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Male","50-64 years",978,3,9014,897,553,24
"189",189,338,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Male","65-74 years",1240,4,10232,1266,770,14
"190",190,339,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Male","75-84 years",1420,4,10825,1349,833,NA
"191",191,340,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Male","85 years and over",1257,4,10109,1082,639,15
"196",196,347,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Female","18-29 years",16,1,595,16,NA,0
"198",198,349,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Female","30-39 years",37,1,1012,53,16,NA
"200",200,351,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Female","40-49 years",118,2,1499,126,68,NA
"202",202,353,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Female","50-64 years",486,2,5380,540,299,21
"204",204,355,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Female","65-74 years",751,3,7083,728,425,13
"205",205,356,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Female","75-84 years",1064,4,9656,954,537,NA
"206",206,357,"11/24/2021","1/1/2020","11/20/2021","By Total","Colorado","Female","85 years and over",1574,4,15157,1126,614,20
"210",210,381,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Male","18-29 years",11,1,698,NA,NA,NA
"212",212,383,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Male","30-39 years",36,1,1128,15,NA,0
"214",214,385,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Male","40-49 years",118,2,1420,66,35,0
"216",216,387,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Male","50-64 years",668,3,6111,415,229,NA
"218",218,389,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Male","65-74 years",949,3,6344,624,340,14
"219",219,390,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Male","75-84 years",1207,4,7907,761,389,11
"220",220,391,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Male","85 years and over",1407,4,9320,933,436,10
"224",224,400,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Female","30-39 years",16,1,458,20,NA,0
"226",226,402,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Female","40-49 years",58,1,746,36,16,NA
"228",228,404,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Female","50-64 years",378,2,3550,279,141,10
"230",230,406,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Female","65-74 years",627,3,4711,435,213,NA
"231",231,407,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Female","75-84 years",1099,4,7500,670,344,15
"232",232,408,"11/24/2021","1/1/2020","11/20/2021","By Total","Connecticut","Female","85 years and over",2275,4,15031,1103,522,13
"235",235,436,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Male","40-49 years",31,1,462,24,14,0
"237",237,438,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Male","50-64 years",187,2,2010,174,108,NA
"239",239,440,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Male","65-74 years",255,2,2449,250,151,NA
"240",240,441,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Male","75-84 years",344,2,2711,304,176,NA
"241",241,442,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Male","85 years and over",250,2,2349,186,107,NA
"244",244,445,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Female","0-17 years",0,1,92,NA,0,0
"247",247,451,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Female","30-39 years",10,1,174,14,NA,NA
"248",248,453,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Female","40-49 years",17,1,267,15,10,NA
"250",250,455,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Female","50-64 years",148,2,1277,148,84,NA
"252",252,457,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Female","65-74 years",195,2,1860,216,114,NA
"253",253,458,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Female","75-84 years",270,2,2479,233,127,NA
"254",254,459,"11/24/2021","1/1/2020","11/20/2021","By Total","Delaware","Female","85 years and over",396,2,3461,240,122,NA
"258",258,485,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Male","30-39 years",32,1,424,38,26,NA
"260",260,487,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Male","40-49 years",61,1,499,66,49,NA
"262",262,489,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Male","50-64 years",259,2,1951,307,207,NA
"264",264,491,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Male","65-74 years",250,2,1776,314,215,NA
"265",265,492,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Male","75-84 years",184,2,1286,229,152,0
"266",266,493,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Male","85 years and over",117,2,941,148,93,NA
"269",269,496,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Female","0-17 years",0,1,165,NA,0,NA
"273",273,502,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Female","30-39 years",13,1,160,14,10,0
"275",275,504,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Female","40-49 years",26,1,264,38,21,0
"277",277,506,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Female","50-64 years",169,2,1266,194,135,0
"279",279,508,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Female","65-74 years",182,2,1267,230,144,NA
"280",280,509,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Female","75-84 years",143,2,1198,186,115,0
"281",281,510,"11/24/2021","1/1/2020","11/20/2021","By Total","District of Columbia","Female","85 years and over",176,2,1638,234,148,NA
"283",283,530,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Male","0-17 years",21,1,2365,44,NA,NA
"285",285,534,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Male","18-29 years",276,2,5858,258,163,NA
"287",287,536,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Male","30-39 years",697,3,8533,658,466,NA
"289",289,538,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Male","40-49 years",1818,4,11854,1540,1236,22
"291",291,540,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Male","50-64 years",7122,4,47632,6747,4744,69
